date,P,volume
2023-01-01,0.2193,195.0
2023-01-02,0.2554,395.1
2023-01-03,0.2566,315.7
2023-01-04,0.2908,278.1
2023-01-05,0.2751,312.2
2023-01-06,0.2607,366.6
2023-01-07,0.2939,491.6
2023-01-08,0.2143,267.4
2023-01-09,0.2308,403.1
2023-01-10,0.2222,351.6
2023-01-11,0.2383,367.2
2023-01-12,0.2087,500.3
2023-01-13,0.2691,453.8
2023-01-14,0.2433,533.7
2023-01-15,0.2059,384.5
2023-01-16,0.2195,330.4
2023-01-17,0.2594,377.6
2023-01-18,0.2751,424.2
2023-01-19,0.3099,417.7
2023-01-20,0.3374,291.6
2023-01-21,0.3588,409.0
2023-01-22,0.3918,422.8
2023-01-23,0.4416,651.7
2023-01-24,0.4883,587.7
2023-01-25,0.5308,314.7
2023-01-26,0.5775,371.3
2023-01-27,0.6243,253.7
2023-01-28,0.6599,340.9
2023-01-29,0.6894,431.6
2023-01-30,0.7325,520.6
2023-01-31,0.7724,327.1
2023-02-01,0.8036,334.6
2023-02-02,0.8264,185.3
2023-02-03,0.8688,383.7
2023-02-04,0.8967,293.8
2023-02-05,0.8725,347.1
2023-02-06,0.859,312.3
2023-02-07,0.8772,390.6
2023-02-08,0.8659,224.2
2023-02-09,0.8349,253.3
2023-02-10,0.8209,612.9
2023-02-11,0.8273,271.3
2023-02-12,0.7896,290.3
2023-02-13,0.7798,583.7
2023-02-14,0.7831,690.5
2023-02-15,0.7608,282.8
2023-02-16,0.7526,363.2
2023-02-17,0.7391,434.2
2023-02-18,0.7321,572.9
2023-02-19,0.7308,301.3
2023-02-20,0.7056,375.5
2023-02-21,0.6991,477.7
